researchExp,industryExp,toeflScore,greV,greQ,greA,univName,cgpaNorm
0,36,105.0,155.0,168.0,3.5,Virginia Tech,0.8880000000000001
0,0,112.0,152.0,157.0,3.5,Virginia Tech,0.93
0,0,117.0,165.0,166.0,6.0,Virginia Tech,0.74
0,0,109.0,157.0,168.0,3.0,Virginia Tech,0.8949999999999999
0,0,116.0,162.0,170.0,4.5,Virginia Tech,0.8800000000000001
0,0,114.0,166.0,161.0,4.0,Virginia Tech,0.806
0,0,110.0,163.0,166.0,3.5,Virginia Tech,0.73
0,0,115.0,162.0,166.0,3.0,Virginia Tech,0.835
0,0,108.0,161.0,165.0,3.5,Virginia Tech,0.899
0,27,107.0,155.0,161.0,4.0,Virginia Tech,0.77
0,0,112.0,154.0,163.0,4.0,Virginia Tech,0.77
0,0,112.0,162.0,166.0,4.0,Virginia Tech,0.907
0,0,109.0,161.0,169.0,4.0,Virginia Tech,0.941
0,0,112.0,165.0,166.0,4.0,Virginia Tech,0.6769999999999999
0,24,108.0,158.0,170.0,3.5,Virginia Tech,0.716
0,0,116.0,162.0,163.0,4.0,Virginia Tech,0.074
0,46,113.0,162.0,168.0,4.0,Virginia Tech,0.72
0,0,109.0,154.0,160.0,3.5,Virginia Tech,0.7704
0,0,109.0,151.0,163.0,3.0,Virginia Tech,0.8869999999999999
0,0,95.0,158.0,163.0,3.5,Virginia Tech,0.85
0,0,105.0,155.0,165.0,4.0,Virginia Tech,0.8230000000000001
0,0,107.0,154.0,165.0,3.5,Virginia Tech,0.65
0,31,107.0,148.0,161.0,3.0,Virginia Tech,0.8939999999999999
0,0,97.0,157.0,161.0,3.5,Virginia Tech,0.874
0,0,91.0,155.0,160.0,3.0,Virginia Tech,0.8109999999999999
0,1,113.0,157.0,167.0,5.0,Virginia Tech,0.865
0,8,103.0,148.0,163.0,4.0,Virginia Tech,0.65
0,0,95.0,148.0,162.0,3.5,Virginia Tech,0.75
0,0,104.0,167.0,161.0,3.5,Virginia Tech,0.81
0,16,104.0,149.0,159.0,3.0,Virginia Tech,0.91
0,0,104.0,158.0,160.0,3.0,Virginia Tech,0.747
0,0,101.0,162.0,164.0,3.5,Virginia Tech,0.72
0,0,111.0,151.0,163.0,4.5,Virginia Tech,0.695
0,0,111.0,164.0,166.0,3.0,Virginia Tech,0.8
0,0,111.0,152.0,158.0,3.0,Virginia Tech,0.925
0,0,105.0,165.0,166.0,4.0,Virginia Tech,0.76
0,0,106.0,152.0,164.0,3.5,Virginia Tech,0.928
0,0,105.0,164.0,166.0,3.5,Virginia Tech,0.94
0,0,93.0,158.0,159.0,3.5,Virginia Tech,0.7008
0,0,108.0,163.0,164.0,3.0,Virginia Tech,0.77
0,0,114.0,163.0,165.0,5.0,Virginia Tech,0.8380000000000001
0,0,104.0,158.0,168.0,3.0,Virginia Tech,0.8550000000000001
36,48,98.0,141.0,167.0,3.0,Virginia Tech,0.85
0,0,111.0,166.0,166.0,3.5,Virginia Tech,0.9255
0,0,111.0,157.0,166.0,3.0,Virginia Tech,0.755
0,0,110.0,154.0,164.0,3.0,Virginia Tech,0.817
0,24,108.0,159.0,163.0,3.0,Virginia Tech,0.859
0,0,114.0,159.0,169.0,4.5,Virginia Tech,0.899
0,0,113.0,163.0,166.0,4.5,Virginia Tech,0.8099999999999999
0,0,105.0,166.0,166.0,4.0,Virginia Tech,0.8519
0,0,105.0,154.0,166.0,3.0,Virginia Tech,0.68
0,0,109.0,160.0,159.0,3.5,Virginia Tech,0.805
0,0,101.0,155.0,169.0,4.0,Virginia Tech,0.948
0,0,107.0,158.0,166.0,3.0,Virginia Tech,0.8059999999999999
0,26,98.0,152.0,163.0,4.0,Virginia Tech,0.8779999999999999
0,0,100.0,150.0,166.0,4.0,Virginia Tech,0.7905
0,0,93.0,165.0,166.0,3.0,Virginia Tech,0.72
0,0,89.0,148.0,157.0,3.0,Virginia Tech,0.8
0,0,117.0,163.0,170.0,4.0,Virginia Tech,0.7
0,0,114.0,162.0,166.0,3.5,Virginia Tech,0.805
0,0,118.0,164.0,169.0,4.5,Virginia Tech,0.889
0,0,117.0,158.0,170.0,4.5,Virginia Tech,0.986
0,0,99.0,165.0,160.0,3.5,Virginia Tech,0.8175
0,0,105.0,155.0,164.0,3.5,Virginia Tech,0.857
12,6,105.0,158.0,170.0,4.0,Virginia Tech,0.966
0,0,114.0,156.0,165.0,3.0,Virginia Tech,0.928
0,0,118.0,165.0,166.0,4.5,Virginia Tech,0.601
0,0,111.0,158.0,164.0,4.0,Virginia Tech,0.8099999999999999
0,0,116.0,162.0,167.0,4.5,Virginia Tech,0.76
0,0,114.0,161.0,158.0,4.0,Virginia Tech,0.7
0,0,104.0,154.0,170.0,4.0,Virginia Tech,0.908
0,0,105.0,161.0,166.0,3.5,Virginia Tech,0.8470000000000001
0,0,114.0,165.0,166.0,5.0,Virginia Tech,0.985
0,14,111.0,152.0,167.0,3.0,Virginia Tech,0.68
0,0,115.0,164.0,166.0,4.5,Virginia Tech,0.943
0,0,107.0,161.0,166.0,4.5,Virginia Tech,0.922
0,0,104.0,153.0,170.0,3.5,Virginia Tech,0.74
0,0,117.0,161.0,159.0,4.0,Virginia Tech,0.843
0,0,105.0,155.0,163.0,3.5,Virginia Tech,0.8119999999999999
0,31,95.0,148.0,155.0,3.0,Virginia Tech,0.8710000000000001
0,0,108.0,153.0,166.0,5.0,Virginia Tech,0.7
0,0,105.0,162.0,168.0,5.0,Virginia Tech,0.922
0,0,115.0,156.0,170.0,4.0,Virginia Tech,0.961
48,18,113.0,160.0,170.0,3.0,Virginia Tech,0.85
0,0,118.0,160.0,161.0,5.0,Virginia Tech,0.92
0,0,97.0,148.0,168.0,3.5,Virginia Tech,0.881
0,0,113.0,161.0,170.0,4.0,Virginia Tech,0.7936
0,0,119.0,169.0,166.0,4.5,Virginia Tech,0.85
0,0,115.0,168.0,166.0,4.0,Virginia Tech,0.83
0,0,115.0,165.0,166.0,5.0,Virginia Tech,0.67
0,0,116.0,168.0,161.0,4.5,Virginia Tech,0.7909999999999999
0,0,108.0,160.0,166.0,4.5,Virginia Tech,0.68
0,0,114.0,158.0,163.0,3.5,Virginia Tech,0.964
0,0,107.0,153.0,166.0,3.5,Virginia Tech,0.73
0,0,104.0,151.0,170.0,3.0,Virginia Tech,0.8320000000000001
0,0,114.0,163.0,168.0,4.0,Virginia Tech,0.8039999999999999
0,0,113.0,158.0,166.0,4.0,Virginia Tech,0.8550000000000001
0,0,103.0,163.0,163.0,3.0,Virginia Tech,0.733
0,0,107.0,150.0,169.0,4.0,Virginia Tech,0.75
0,0,105.0,152.0,163.0,3.5,Virginia Tech,0.8699999999999999
